Vase Number, Decoration,Date,Technique,Provenance,Longitude,Latitude
213470,"A: MIDAS, (NAMED) WITH POINTED EARS, WITH SCEPTRE SEATED ON CHAIR, SILENOS (NAMED) WITH HANDS BOUND, COLUMN, WOMAN (NAMED, EUROPA) WITH FAN, MAN IN THRACIAN COSTUME WITH STAFF | B: SATYRS, MAENAD WITH THYRSOS",-475 to -425,RED-FIGURE,"ITALY, CHIUSI",11.949059,43.015733
213542,"A: HERAKLES WITH CLUB ATTACKING BULL, WOMEN SEATED, MEN, ONE IN CHLAMYS WITH SPEARS, BLOCK, PILLAR | B: CENTAUROMACHY, CENTAURS, ONE WITH LAMPSTAND, YOUTHS, ONE WITH SWORD (PEIRITHOOS, THESEUS), WOMEN | UH: DRAPED FIGURES",-475 to -425,RED-FIGURE,"ATHENS, AGORA",23.7225,37.975
213846,A: EUROPA RIDING ON BULL | B: DRAPED MAN WITH STAFF,-475 to -425,RED-FIGURE,"ITALY, NOLA",14.520526,40.927771
214180,A: EUROPA RIDING THE BULL | B: WOMAN FLEEING,-475 to -425,RED-FIGURE,"ITALY, NOLA",14.520526,40.927771
214181,A: EUROPA RIDING THE BULL | B: WOMAN FLEEING,-475 to -425,RED-FIGURE,"ITALY, NOLA",14.520526,40.927771
214182,A: EUROPA RIDING ON THE BULL | B: OLD MAN WITH STAFF,-475 to -425,RED-FIGURE,,,
214225,A: EUROPA ON BULL | B: DRAPED YOUTH WITH STAFF,-475 to -425,RED-FIGURE,"ITALY, NOLA",14.520526,40.927771
214291,BD: EUROPA ON THE BULL,-475 to -425,RED-FIGURE,"SICILY, GELA",14.258722,37.063029
214339,A: EUROPA | B: WOMAN,-475 to -425,RED-FIGURE,,,
215723,"BD: KADMOS IN PATTERNED CHITONISKOS, PETASOS AND BOOTS WITH SWORD, AND THE DRAGON, YOUTH SEATED ON ROCK, POSEIDON, ATHENA, HERA, DEMETER, PERSEPHONE (?, NAMED, KORA) AND ARTEMIS WITH TORCHES, HERMES, NIKE, WOMEN, ONE WITH CROWN AND SCEPTRE (NAMED, THEBA, HARMONIA), APOLLO SEATED (ALL NAMED), EROS, TRIPODS ON COLUMN, DEER, GRIFFIN, PLANTS",-450 to -400,RED-FIGURE,"ITALY, ETRURIA, VULCI",11.62866183,42.4192224
